tconst     ,orignal tittle                                            ,startYear ,averageRating ,numVotes
tt0266260  ,Arjun                                                     ,     1985 ,          7.2 ,1.2K
tt0907619  ,Arjun                                                     ,     2004 ,          6.5 ,2.1K
tt7294534  ,Arjun Reddy                                               ,     2017 ,          7.9 ,29K
tt2404027  ,Arjun: The Warrior Prince                                 ,     2012 ,          6.8 ,2.2K
tt2555958  ,Arrambam                                                  ,     2013 ,          7   ,11K
tt0083578  ,Arth                                                      ,     1982 ,          7.8 ,1.6K
tt10324144 ,Article 15                                                ,     2019 ,          8.1 ,38K
tt30970235 ,Article 370                                               ,     2024 ,          7.8 ,24K
tt0139861  ,Arunachalam                                               ,     1997 ,          7.5 ,2.7K
tt1361809  ,Arundhati                                                 ,     2009 ,          7.4 ,3.6K
tt5867800  ,Aruvi                                                     ,     2016 ,          8.3 ,15K
tt0431619  ,Arya                                                      ,     2004 ,          7.8 ,8.5K
tt1526323  ,Arya 2                                                    ,     2009 ,          7.5 ,8K
tt14053010 ,Asalem Jarigindi                                          ,     2021 ,          6.2 ,1.1K
tt0267277  ,Ashi Hi Banwa Banwi                                       ,     1988 ,          9   ,2.1K
tt8749962  ,Ashke                                                     ,     2018 ,          7   ,1.1K
tt15373594 ,Ashoka Vanamlo Arjuna Kalyanam                            ,     2022 ,          7.4 ,1.9K
tt1704137  ,Ashta Chamma                                              ,     2008 ,          7.4 ,1.2K
tt26999050 ,Ashtadigbandhanam                                         ,     2023 ,          6.9 ,2.1K
tt0249371  ,Asoka                                                     ,     2001 ,          6.4 ,16K
tt11497480 ,Asur                                                      ,     2020 ,          7   ,1.6K
tt9477520  ,Asuran                                                    ,     2019 ,          8.4 ,35K
tt11430262 ,Aswathama                                                 ,     2020 ,          6.4 ,1.4K
tt0471571  ,Athadu                                                    ,     2005 ,          8.2 ,16K
tt27191600 ,Atharva                                                   ,     2023 ,          6.7 ,8.8K
tt1578116  ,Atithi Tum Kab Jaoge?                                     ,     2010 ,          6.5 ,7.2K
tt12969078 ,Atkan Chatkan                                             ,     2020 ,          7.6 ,4.3K
tt9766332  ,Atrangi Re                                                ,     2021 ,          6.5 ,29K
tt7529298  ,Attack                                                    ,     2022 ,          6.8 ,17K
tt0881894  ,Attagasam                                                 ,     2004 ,          6.3 ,1.7K
tt2845796  ,Attakathi                                                 ,     2012 ,          7.2 ,1.2K
tt3042926  ,Attarintiki Daredi                                        ,     2013 ,          7.3 ,10K
tt13423468 ,Attention Please                                          ,     2021 ,          6.8 ,1.6K
tt21835934 ,16/08/47                                                  ,     2023 ,          6.7 ,1.2K
tt2804026  ,Aurangzeb                                                 ,     2013 ,          6.4 ,4.5K
tt26659814 ,Auron Mein Kahan Dum Tha                                  ,     2024 ,          6.6 ,40K
tt1611004  ,Autograph                                                 ,     2010 ,          7.4 ,2.6K
tt0411131  ,Autograph                                                 ,     2004 ,          7.8 ,1.2K
tt7471004  ,Aval                                                      ,     2017 ,          6.7 ,2.8K
tt1606376  ,Avan Ivan                                                 ,     2011 ,          6.3 ,1.3K
tt7998242  ,Avane Srimannarayana                                      ,     2019 ,          7.6 ,8.5K
tt33022424 ,Average Student Nani                                      ,     2024 ,          8.1 ,2.2K
tt0139872  ,Avvai Shanmugi                                            ,     1996 ,          7.9 ,3.1K
tt0043306  ,Awaara                                                    ,     1951 ,          7.8 ,4.7K
tt0319020  ,Awara Paagal Deewana                                      ,     2002 ,          6.3 ,9.6K
tt1020937  ,Awarapan                                                  ,     2007 ,          7.4 ,8.5K
tt7797658  ,Awe!                                                      ,     2018 ,          7.6 ,6.2K
tt8747548  ,Axone                                                     ,     2019 ,          6.9 ,2.4K
tt7892066  ,Ayalaan                                                   ,     2024 ,          6   ,3.9K
tt2476214  ,Ayalum Njanum Thammil...                                  ,     2012 ,          8   ,3.2K
tt1355546  ,Ayan                                                      ,     2009 ,          7.6 ,12K
tt1512888  ,Ayirathil Oruvan                                          ,     2010 ,          8   ,7.9K
tt16211122 ,Ayodhi                                                    ,     2023 ,          8.2 ,3.9K
tt9304360  ,Ayogya                                                    ,     2019 ,          6.1 ,1.4K
tt11322920 ,Ayyappanum Koshiyum                                       ,     2020 ,          8   ,11K
tt0266288  ,Azhakiya Ravanan                                          ,     1996 ,          7.4 ,1K
tt27494634 ,B&W                                                       ,     2023 ,          7.6 ,1.8K
tt7478160  ,B. Tech                                                   ,     2018 ,          6.2 ,1K
tt2408040  ,B.A. Pass                                                 ,     2012 ,          6.4 ,4.4K
tt34464177 ,BTS: Behind the Scenes                                    ,     2024 ,          9   ,3.2K
tt0211934  ,Baadshah                                                  ,     1999 ,          6.9 ,21K
tt2204243  ,Baadshah                                                  ,     2013 ,          6.3 ,5.1K
