IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt0112313,,,1995,6.9,5.7K,3.28,793,https://letterboxd.com/tmdb/16894/
tt11773378,,,2021,6.8,20K,2.85,2512,https://letterboxd.com/tmdb/794961/
tt31939390,,,2024,8.4,2.4K,0,0,https://letterboxd.com/tmdb/1325057/
tt9537292,,,2020,7.3,25K,3.23,9580,https://letterboxd.com/tmdb/628241/
tt0254942,,,1990,7.7,1.5K,3.54,1190,https://letterboxd.com/tmdb/152625/
tt0242256,,,2000,8.3,7.8K,3.89,6047,https://letterboxd.com/tmdb/49035/
tt28989465,,,2023,6.6,3.6K,0,0,https://letterboxd.com/tmdb/1069928/
tt1830477,,,2011,7.6,3.1K,3.52,1587,https://letterboxd.com/tmdb/57010/
tt5121000,,,2015,7.8,8K,3.81,3836,https://letterboxd.com/tmdb/370870/
tt28803144,,,2024,8.4,1.1K,3.17,592,https://letterboxd.com/tmdb/1384671/
tt24973142,,,2023,6,1.8K,3.21,2590,https://letterboxd.com/tmdb/1064356/
tt32317640,,,2024,6.9,1.2K,0,0,https://letterboxd.com/tmdb/1301330/
tt5082670,,,2015,6.6,2.8K,3.19,1495,https://letterboxd.com/tmdb/364776/
tt0155487,,,1991,8.3,3.4K,3.65,563,https://letterboxd.com/tmdb/237725/
tt0075669,,,1977,7.4,8.5K,3.59,3370,https://letterboxd.com/tmdb/38022/
tt0066758,,,1972,8.1,2.1K,3.6,603,https://letterboxd.com/tmdb/29534/
tt26658272,,,2024,7.8,16K,3.73,12383,https://letterboxd.com/tmdb/1086729/
tt1433905,,,2009,6.2,7.4K,2.94,2011,https://letterboxd.com/tmdb/24603/
tt27118357,,,2024,8.2,18K,3.55,20977,https://letterboxd.com/tmdb/927342/
tt0984177,,,1999,7.3,2.1K,3.38,616,https://letterboxd.com/tmdb/69427/
tt8282830,,,2019,7,1.7K,3.26,1603,https://letterboxd.com/tmdb/619599/
tt23490586,,,2023,6,3.1K,2.71,768,https://letterboxd.com/tmdb/1034587/
tt2786278,,,2013,7.9,3.6K,3.73,2869,https://letterboxd.com/tmdb/180048/
tt2211174,,,2021,6.6,1.4K,0,0,https://letterboxd.com/tmdb/146329/
tt0374497,,,2003,7.4,1.1K,3.45,790,https://letterboxd.com/tmdb/31350/
tt0097409,,,1989,7.3,1.6K,3.61,2036,https://letterboxd.com/tmdb/197562/
tt6058394,,,2017,6,2K,3.34,288,https://letterboxd.com/tmdb/449361/
tt34442671,,,2025,9.4,1.1K,0,0,https://letterboxd.com/tmdb/1401907/
tt19864926,,,2022,6.7,1.3K,3.3,1275,https://letterboxd.com/tmdb/968732/
tt0066763,,,1971,8.1,36K,3.84,7401,https://letterboxd.com/tmdb/26237/
tt15600222,,,2022,7,33K,3.2,9264,https://letterboxd.com/tmdb/882826/
tt0857300,,,2004,8,2.6K,3.74,1660,https://letterboxd.com/tmdb/154913/
tt31416854,,,2024,6.6,2.3K,3.07,2230,https://letterboxd.com/tmdb/1243975/
tt7277680,,,2017,7.1,5.3K,3.22,314,https://letterboxd.com/tmdb/471469/
tt9343826,,,2018,7.5,1.1K,0,0,https://letterboxd.com/tmdb/584626/
tt0487011,,,2005,7.3,1.2K,3.56,1373,https://letterboxd.com/tmdb/194809/
tt4947084,,,2015,7,2.4K,3.27,1327,https://letterboxd.com/tmdb/371107/
tt0367495,,,2003,8.6,27K,4.14,9236,https://letterboxd.com/tmdb/26910/
tt0109117,,,1994,8,56K,3.64,6827,https://letterboxd.com/tmdb/58128/
tt8108198,,,2018,8.2,108K,3.87,36063,https://letterboxd.com/tmdb/534780/
tt13130428,,,2024,6.7,1.2K,3.06,1270,https://letterboxd.com/tmdb/904704/
tt9526826,,,2019,8,7.2K,3.59,3536,https://letterboxd.com/tmdb/647206/
